"","Oil","Density","Crispy","Fracture","Hardness","taste"
"B110",16.5,2955,10,23,97,"excellent"
"B136",17.7,2660,14,9,139,"fair"
"B171",16.2,2870,12,17,143,"fair"
"B192",16.7,2920,10,31,95,"excellent"
"B225",16.3,2975,11,26,143,"fair"
"B237",19.1,2790,13,16,189,"fair"
"B261",18.4,2750,13,17,114,"excellent"
"B264",17.5,2770,10,26,63,"fair"
"B353",15.7,2955,11,23,123,"poor"
"B360",16.4,2945,11,24,132,"poor"
"B366",18,2830,12,15,121,"poor"
"B377",17.4,2835,12,18,172,"excellent"
"B391",18.4,2860,14,11,170,"poor"
"B397",13.9,2965,12,19,169,"fair"
"B404",15.8,2930,9,26,65,"poor"
"B437",16.4,2770,15,16,183,"fair"
"B445",18.9,2650,14,20,114,"good"
"B462",17.3,2890,12,17,142,"excellent"
"B485",16.7,2695,13,13,111,"excellent"
"B488",19.1,2755,14,10,140,"fair"
"B502",13.7,3000,10,27,177,"excellent"
"B554",14.7,2980,10,20,133,"fair"
"B556",18.1,2780,13,14,150,"excellent"
"B575",17.2,2705,8,27,113,"good"
"B576",18.7,2825,13,20,166,"poor"
"B605",18.1,2875,12,15,150,"excellent"
"B612",16.6,2945,10,25,100,"good"
"B615",17.1,2920,10,25,123,"excellent"
"B649",17.4,2845,13,19,129,"poor"
"B665",19.4,2645,12,18,68,"poor"
"B674",15.9,3080,10,23,106,"poor"
"B692",17.1,2825,10,28,131,"good"
"B694",15.5,3125,7,33,92,"fair"
"B719",17.7,2780,13,22,141,"fair"
"B727",15.9,2900,12,21,192,"good"
"B758",21.2,2570,14,13,105,"poor"
"B776",19.5,2635,13,22,101,"excellent"
"B799",20.5,2725,14,16,145,"excellent"
"B836",17,2865,11,22,100,"good"
"B848",16.7,2975,10,26,105,"poor"
"B861",16.8,2980,10,24,144,"fair"
"B869",16.8,2870,12,20,123,"good"
"B876",16.3,2920,11,22,136,"excellent"
"B882",16.2,3100,8,27,140,"poor"
"B889",18.1,2910,12,21,120,"poor"
"B907",16.6,2865,11,25,120,"excellent"
"B911",16.4,2995,12,20,165,"fair"
"B923",15.1,2925,10,29,118,"poor"
"B971",21.1,2700,13,16,116,"poor"
"B998",16.3,2845,10,26,75,"fair"
